symbol,variant,kind,blend_mode,dwell,maker,n_bars,n_windows,n_trades_oos,avg_is_sharpe,avg_oos_sharpe,oos_positive_frac,seconds
AVAXUSDT,sup:split:regime_soft:d3:base,regime_supervisor,regime_soft,3,True,8761,12,1093,-0.2651,0.0457,0.5,10.0
LINKUSDT,sup:split:regime_soft:d3:base,regime_supervisor,regime_soft,3,True,8761,12,1008,-0.4026,-0.1575,0.4167,10.1
UNIUSDT,sup:split:regime_soft:d3:base,regime_supervisor,regime_soft,3,True,8761,12,999,-0.5811,-0.054,0.4167,9.5
XRPUSDT,sup:split:regime_soft:d3:base,regime_supervisor,regime_soft,3,True,8761,12,1084,-0.4383,-0.2927,0.25,9.9
AAVEUSDT,sup:split:regime_soft:d3:both,regime_supervisor,regime_soft,3,True,8761,12,672,-1.3816,-0.4011,0.3333,10.1
AVAXUSDT,sup:split:regime_soft:d3:both,regime_supervisor,regime_soft,3,True,8761,12,750,-0.7579,-0.4113,0.3333,9.9
LINKUSDT,sup:split:regime_soft:d3:both,regime_supervisor,regime_soft,3,True,8761,12,687,-0.8781,-0.2496,0.3333,10.4
UNIUSDT,sup:split:regime_soft:d3:both,regime_supervisor,regime_soft,3,True,8761,12,640,-0.6928,-0.0597,0.5,8.9
XRPUSDT,sup:split:regime_soft:d3:both,regime_supervisor,regime_soft,3,True,8761,12,709,-0.4745,-0.5073,0.25,10.0
AAVEUSDT,sup:split:regime_soft:d3:tdg,regime_supervisor,regime_soft,3,True,8761,12,740,-1.2,-0.1645,0.5833,10.6
AVAXUSDT,sup:split:regime_soft:d3:tdg,regime_supervisor,regime_soft,3,True,8761,12,811,-0.6504,-0.2835,0.3333,10.7
LINKUSDT,sup:split:regime_soft:d3:tdg,regime_supervisor,regime_soft,3,True,8761,12,747,-0.8956,-0.1762,0.3333,10.1
UNIUSDT,sup:split:regime_soft:d3:tdg,regime_supervisor,regime_soft,3,True,8761,12,727,-0.6733,-0.1485,0.4167,9.0
XRPUSDT,sup:split:regime_soft:d3:tdg,regime_supervisor,regime_soft,3,True,8761,12,775,-0.9058,-0.3774,0.4167,10.2
AAVEUSDT,sup:split:regime_soft:d3:vhv,regime_supervisor,regime_soft,3,True,8761,12,921,-1.1612,-0.2745,0.3333,9.9
AVAXUSDT,sup:split:regime_soft:d3:vhv,regime_supervisor,regime_soft,3,True,8761,12,1002,-0.4325,-0.0542,0.5,10.7
LINKUSDT,sup:split:regime_soft:d3:vhv,regime_supervisor,regime_soft,3,True,8761,12,918,-0.4036,-0.1535,0.4167,10.2
UNIUSDT,sup:split:regime_soft:d3:vhv,regime_supervisor,regime_soft,3,True,8761,12,890,-0.4093,0.083,0.6667,9.0
XRPUSDT,sup:split:regime_soft:d3:vhv,regime_supervisor,regime_soft,3,True,8761,12,986,-0.2213,-0.2887,0.1667,10.6
